timestamp_ms,x,y,event_type,button,dx,dy
695757682,643,36,move,,0,0
695757690,625,34,move,,0,0
695757698,605,31,move,,0,0
695757706,585,27,move,,0,0
695757714,563,26,move,,0,0
695757722,538,24,move,,0,0
695757730,512,22,move,,0,0
695757738,482,20,move,,0,0
695757746,453,20,move,,0,0
695757754,429,20,move,,0,0
695757762,404,20,move,,0,0
695757770,384,20,move,,0,0
695757778,366,20,move,,0,0
695757786,350,20,move,,0,0
695757794,336,20,move,,0,0
695757802,324,18,move,,0,0
695757810,314,18,move,,0,0
695757818,304,18,move,,0,0
695757826,296,18,move,,0,0
695757834,289,18,move,,0,0
695757842,283,18,move,,0,0
695757850,279,18,move,,0,0
695757858,276,18,move,,0,0
695757866,274,18,move,,0,0
695757874,272,18,move,,0,0
695757882,268,18,move,,0,0
695757890,265,18,move,,0,0
695757898,262,18,move,,0,0
695757906,258,18,move,,0,0
695757914,253,19,move,,0,0
695757922,248,20,move,,0,0
695757930,244,21,move,,0,0
695757938,237,22,move,,0,0
695757946,231,23,move,,0,0
695757954,224,25,move,,0,0
695757962,216,26,move,,0,0
695757970,205,28,move,,0,0
695757978,195,29,move,,0,0
695757986,183,31,move,,0,0
695757994,171,32,move,,0,0
695758002,158,34,move,,0,0
695758010,146,35,move,,0,0
695758018,136,37,move,,0,0
695758026,126,37,move,,0,0
695758034,118,37,move,,0,0
695758042,111,38,move,,0,0
695758050,105,38,move,,0,0
695758058,100,38,move,,0,0
695758066,96,38,move,,0,0
695758074,91,38,move,,0,0
695758082,87,38,move,,0,0
695758090,82,38,move,,0,0
695758098,78,38,move,,0,0
695758106,73,38,move,,0,0
695758114,69,38,move,,0,0
695758122,63,38,move,,0,0
695758130,59,38,move,,0,0
695758138,54,38,move,,0,0
695758146,50,38,move,,0,0
695758154,45,38,move,,0,0
695758162,42,38,move,,0,0
695758170,40,38,move,,0,0
695758178,38,38,move,,0,0
695758186,37,38,move,,0,0
695758522,37,38,move,,0,0
695758538,37,38,click_down,left,0,0
695758666,37,38,click_up,left,0,0
695759170,37,38,move,,0,0
695759178,39,38,move,,0,0
695759186,41,38,move,,0,0
695759194,44,38,move,,0,0
695759202,47,38,move,,0,0
695759210,52,38,move,,0,0
695759218,59,38,move,,0,0
695759226,67,38,move,,0,0
695759234,77,38,move,,0,0
695759242,90,38,move,,0,0
695759250,102,38,move,,0,0
695759258,114,38,move,,0,0
695759266,126,39,move,,0,0
695759274,136,39,move,,0,0
695759282,144,39,move,,0,0
695759290,150,39,move,,0,0
695759298,156,39,move,,0,0
695759306,161,39,move,,0,0
695759314,164,39,move,,0,0
695759322,167,39,move,,0,0
695759330,169,39,move,,0,0
695759338,171,39,move,,0,0
695759346,173,39,move,,0,0
695759354,174,39,move,,0,0
695759362,176,39,move,,0,0
695759370,177,39,move,,0,0
695759378,177,39,move,,0,0
695759386,178,39,move,,0,0
695759394,180,39,move,,0,0
695759402,181,39,move,,0,0
695759410,183,39,move,,0,0
695759418,185,39,move,,0,0
695759426,187,39,move,,0,0
695759434,190,38,move,,0,0
695759442,193,36,move,,0,0
695759450,197,35,move,,0,0
695759458,200,34,move,,0,0
695759466,203,34,move,,0,0
695759474,205,34,move,,0,0
695759482,206,33,move,,0,0
695759490,207,33,move,,0,0
695759498,208,33,move,,0,0
695761306,208,33,move,,0,0
695761314,210,32,move,,0,0
695761323,215,31,move,,0,0
695761330,221,30,move,,0,0
695761338,232,29,move,,0,0
695761346,242,29,move,,0,0
695761354,254,29,move,,0,0
695761362,266,29,move,,0,0
695761370,278,29,move,,0,0
695761378,292,31,move,,0,0
695761386,309,37,move,,0,0
695761394,330,44,move,,0,0
695761402,348,53,move,,0,0
695761410,361,62,move,,0,0
695761418,372,74,move,,0,0
695761426,382,89,move,,0,0
695761434,390,101,move,,0,0
695761442,397,114,move,,0,0
695761450,403,129,move,,0,0
695761458,410,145,move,,0,0
695761466,418,164,move,,0,0
695761474,431,183,move,,0,0
695761482,445,207,move,,0,0
695761490,462,236,move,,0,0
695761498,482,264,move,,0,0
695761506,506,297,move,,0,0
695761514,534,338,move,,0,0
695761522,562,379,move,,0,0
695761530,593,421,move,,0,0
695761538,625,466,move,,0,0
695761546,653,507,move,,0,0
695761554,674,539,move,,0,0
695761562,689,567,move,,0,0
695761570,697,583,move,,0,0
695761578,702,598,move,,0,0
695761586,703,608,move,,0,0
695761594,705,618,move,,0,0
695761602,706,629,move,,0,0
695761610,709,641,move,,0,0
695761618,712,652,move,,0,0
695761626,715,660,move,,0,0
695761634,718,667,move,,0,0
695761642,720,671,move,,0,0
695761650,721,673,move,,0,0
695761658,722,675,move,,0,0
695761666,723,675,move,,0,0
695761674,724,677,move,,0,0
695761682,727,680,move,,0,0
695761690,732,685,move,,0,0
695761698,740,690,move,,0,0
695761706,749,698,move,,0,0
695761714,760,708,move,,0,0
695761722,773,719,move,,0,0
695761730,788,733,move,,0,0
695761738,803,746,move,,0,0
695761746,824,763,move,,0,0
695761754,850,784,move,,0,0
695761762,880,810,move,,0,0
695761770,914,839,move,,0,0
695761778,952,869,move,,0,0
695761786,997,904,move,,0,0
695761794,1039,938,move,,0,0
695761802,1081,972,move,,0,0
695761810,1119,1003,move,,0,0
695761818,1150,1031,move,,0,0
695761826,1173,1054,move,,0,0
695761834,1192,1074,move,,0,0
695761842,1207,1091,move,,0,0
695761850,1218,1106,move,,0,0
695761858,1226,1119,move,,0,0
695761866,1231,1130,move,,0,0
695761874,1234,1138,move,,0,0
695761882,1235,1145,move,,0,0
695761890,1236,1150,move,,0,0
695761898,1236,1154,move,,0,0
695761906,1236,1159,move,,0,0
695761914,1236,1162,move,,0,0
695761922,1234,1165,move,,0,0
695761930,1230,1170,move,,0,0
695761938,1226,1175,move,,0,0
695761946,1221,1179,move,,0,0
695761954,1216,1185,move,,0,0
695761962,1210,1190,move,,0,0
695761970,1204,1197,move,,0,0
695761978,1200,1204,move,,0,0
695761986,1196,1211,move,,0,0
695761994,1193,1218,move,,0,0
695762002,1190,1227,move,,0,0
695762010,1187,1235,move,,0,0
695762018,1186,1244,move,,0,0
695762027,1186,1252,move,,0,0
695762034,1186,1262,move,,0,0
695762042,1186,1272,move,,0,0
695762050,1188,1283,move,,0,0
695762059,1193,1293,move,,0,0
695762066,1199,1304,move,,0,0
695762074,1210,1316,move,,0,0
695762082,1225,1327,move,,0,0
695762090,1245,1340,move,,0,0
695762098,1272,1354,move,,0,0
695762106,1307,1371,move,,0,0
695762114,1354,1391,move,,0,0
695762122,1404,1413,move,,0,0
695762130,1463,1438,move,,0,0
695762138,1521,1460,move,,0,0
695762146,1579,1482,move,,0,0
695762154,1637,1504,move,,0,0
695762162,1686,1522,move,,0,0
695762170,1724,1537,move,,0,0
695762178,1754,1547,move,,0,0
695762186,1776,1556,move,,0,0
695762194,1791,1563,move,,0,0
695762202,1799,1567,move,,0,0
695762210,1803,1569,move,,0,0
695762218,1805,1571,move,,0,0
695762242,1805,1571,move,,0,0
695762250,1803,1571,move,,0,0
695762258,1801,1572,move,,0,0
695762266,1798,1572,move,,0,0
695762274,1793,1572,move,,0,0
695762282,1789,1572,move,,0,0
695762290,1784,1572,move,,0,0
695762298,1781,1572,move,,0,0
695762306,1778,1573,move,,0,0
